,Absorber Layer,PCE_value,PCE_error,Voc_value,Voc_error,Jsc_value,Jsc_error,FF_value,FF_error
1952,ZnO,17.7,,1.13,,20.1,,78.0,"(78.0, None)"
1953,MAPbI3,20.61,,1.05,,23.2,,84.49,"(84.49, None)"
1954,ZnO interlayer,8.73,,0.744,,17.7,,68.9,"(68.9, None)"
1955,(FAPbI3)0.85(MAPbBr3)0.15,19.24,,1.08,,22.65,,78.0,"(78.0, None)"
1956,S(TPA-3T-CA):PC71BM,3.6,,0.88,,7.3,,56.00000000000001,"(56.00000000000001, None)"
1957,PM6:Y6 blends,13.44,,0.829,,23.2,,69.98,"(69.98, None)"
1958,JY16,6.53,,0.735,,13.4,,66.0,"(66.0, None)"
1959,JY17,3.47,,0.58,,9.2,,65.0,"(65.0, None)"
1960,N/A,4.2,,0.75,,13.08,,41.5,"(41.5, None)"
1961,TB(Na),17.8,,1.06,,21.39,,78.48,"(78.48, None)"
1962,TB(K),19.03,,1.08,,22.29,,78.81,"(78.81, None)"
1963,MAPbI3,10.17,,0.97,,16.33,,65.0,"(65.0, None)"
1964,PBDFDTBT,5.0,,0.77,,9.0,,60.0,"(60.0, None)"
1965,SBS-PU,15.61,,1.07,,18.7,,78.0,"(78.0, None)"
1966,Rutile TiO2 flowers,2.66,,0.64,,8.14,,51.0,"(51.0, None)"
1967,Highly branched rutile TiO2 nanorods,3.07,,0.68,,10.04,,45.0,"(45.0, None)"
1968,Cu2O,0.018,,0.22,,2.0,,17.0,"(17.0, None)"
1969,AP25 + D35,10.3,,1.47,,10.1,,71.0,"(71.0, None)"
1970,D35/(AP25 + D35),10.1,,2.12,,6.8,,68.0,"(68.0, None)"
1971,TiO2/CdS/CdSe,0.81,,0.61,,4.32,,31.0,"(31.0, None)"
1972,TiO2/CdS/CdSe/ZnSe,1.71,,0.73,,5.09,,46.0,"(46.0, None)"
1973,SPU-GO-CC,1.07,,0.602,,0.812,,87.4,"(87.4, None)"
1974,P1:NI-AA-NI,1.87,,1.06,,4.1,,43.0,"(43.0, None)"
1975,P2:NI-AA-NI,3.71,,1.07,,6.29,,55.00000000000001,"(55.00000000000001, None)"
1976,DTS(PTTh2)2/PC70BM,6.51,,0.84,,15.84,,61.0,"(61.0, None)"
1977,0 M urea,2.47,,0.55,,10.6,,42.0,"(42.0, None)"
1978,0.3 M urea,3.83,,0.55,,13.17,,52.0,"(52.0, None)"
1979,0.6 M urea,1.88,,0.61,,8.46,,36.0,"(36.0, None)"
1980,0.9 M urea,1.16,,0.59,,7.22,,27.0,"(27.0, None)"
1981,Pt,1.32,,0.6,,5.85,,37.0,"(37.0, None)"
1982,N/A,9.49,0.29,0.55,0.017,26.15,0.26,66.0,"(66.0, 0.02)"
1983,MAPbI3,12.95,,0.986,,17.4,,75.48,"(75.48, None)"
1984,TPR,15.47,,1.032,,18.94,,79.16,"(79.16, None)"
1985,CH3NH3PbI3,19.8,,1.123,,22.32,,79.1,"(79.1, None)"
1986,SiO2@AuNP@TiO2,5.74,,0.785,,10.91,,67.0,"(67.0, None)"
1987,PBDTT-DTBSe,5.4,,0.75,,11.23,,64.1,"(64.1, None)"
1988,PBDTT-DTBT,4.57,,0.78,,9.3,,47.0,"(47.0, None)"
1989,PNDF-DTBSe,3.75,,0.75,,6.72,,55.2,"(55.2, None)"
1990,PNDF-DTBT,3.57,,0.75,,6.72,,55.2,"(55.2, None)"
1991,TiO2 nanopopcorns grown on Ti foil,3.98,,0.576,,11.5,,60.0,"(60.0, None)"
1992,TiO2 nanopopcorns grown on Ti foil,1.85,,0.548,,5.52,,61.0,"(61.0, None)"
1993,TiO2 nanopopcorns grown on Ti foil,0.6,,0.518,,1.75,,66.0,"(66.0, None)"
1994,Y21,15.4,,0.83,,24.9,,74.4,"(74.4, None)"
1995,Tess-AuNP and PEDOT:PSS,2.36,,0.6,,6.98,,56.9,"(56.9, None)"
1996,AuNP and PEDOT:PSS,0.88,,0.53,,3.5,,47.2,"(47.2, None)"
1997,SS,0.84,,0.38,,6.5,,34.0,"(34.0, None)"
1998,TS03,1.7,,0.51,,8.35,,40.1,"(40.1, None)"
1999,TS07,2.08,,0.59,,8.3,,42.6,"(42.6, None)"
2000,TS15,3.28,,0.6,,11.65,,46.9,"(46.9, None)"
2001,TS24,3.73,,0.61,,12.68,,48.5,"(48.5, None)"
2002,PAT,3.0,,0.66,,6.91,,66.0,"(66.0, None)"
2003,PPAT4,4.7,,0.72,,10.87,,60.0,"(60.0, None)"
2004,PPAT5,3.7,,0.7,,8.05,,65.0,"(65.0, None)"
2005,PPAT6,4.1,,0.65,,9.8,,64.0,"(64.0, None)"
2006,Perovskite,25.17,,1.184,,25.3,,84.04,"(84.04, None)"
2007,Control,18.97,,1.12,,21.6,,78.41,"(78.41, None)"
2008,R-α-MBA,19.61,,1.14,,21.65,,79.47,"(79.47, None)"
2009,R-α-BrMBA,21.48,,1.2,,21.71,,82.44,"(82.44, None)"
2010,Water-soluble zinc phthalocyanine donors,0.46,,5.1,,3.3,,56.99999999999999,"(56.99999999999999, None)"
2011,CH3NH3PbI3-xClx,15.08,,1.03,,22.1,,68.0,"(68.0, None)"
2012,PBDTTT-C-T:PC70BM,7.67,,0.77,,15.2,,56.00000000000001,"(56.00000000000001, None)"
2013,Spiro-OMeTAD,17.22,,1.014,,22.53,,75.37,"(75.37, None)"
2014,TTI,15.83,,1.003,,20.83,,75.72,"(75.72, None)"
2015,DPTMM:C60,4.0,,0.99,,6.29,,64.0,"(64.0, None)"
2016,N/A,8.24,,0.79,,15.21,,68.61,"(68.61, None)"
2017,N/A,8.12,,0.7963,,15.56,,65.55,"(65.55, None)"
2018,N/A,6.02,,0.7787000000000001,,14.86,,52.08,"(52.08, None)"
2019,COi6IC,8.43,,0.82,,17.45,,59.0,"(59.0, None)"
2020,COi6FIC,9.12,,0.75,,19.38,,62.6,"(62.6, None)"
2021,COi6DFIC,8.25,,0.67,,20.98,,58.9,"(58.9, None)"
2022,IB3,7.0,,0.8,,13.7,,63.0,"(63.0, None)"
